"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"112","MEINH12","MEINH2",0.330021108996218,0.741384012188144,0.977693456590577,"",NA,"SCINH10","SCINH1"
"113","MEGLU1","MEINH3",0.267049534324079,0.789431022624346,0.977693456590577,"",NA,"SCEXC1","SCINH2"
"114","MEGLU2","MEINH3",-0.882819596574709,0.37733375074714,0.87992861900656,"",NA,"SCEXC2","SCINH2"
"115","MEGLU3","MEINH3",-1.07381994797828,0.282903387568879,0.87992861900656,"",NA,"SCEXC3","SCINH2"
"116","MEGLU4","MEINH3",-1.86236750014426,0.0625513069059224,0.87992861900656,"",NA,"SCEXC4","SCINH2"
"117","MEGLU5","MEINH3",-0.554663746536802,0.579124677778635,0.977693456590577,"",NA,"SCEXC5","SCINH2"
"118","MEGLU6","MEINH3",0.547201928756062,0.584240011242732,0.977693456590577,"",NA,"SCEXC6","SCINH2"
"119","MEINH2","MEINH3",-0.164168568545905,0.869598444030428,0.977693456590577,"",NA,"SCINH1","SCINH2"
"120","MEINH3","MEINH3",1.07518284914345,0.282292872517204,0.87992861900656,"",NA,"SCINH2","SCINH2"
"121","MEINH5","MEINH3",0.511162564315657,0.609237229708385,0.977693456590577,"",NA,"SCINH3","SCINH2"
"122","MEINH6","MEINH3",-0.969023881555856,0.332533273881143,0.87992861900656,"",NA,"SCINH4","SCINH2"
"123","MEINH7","MEINH3",-0.253229814747337,0.800090628332578,0.977693456590577,"",NA,"SCINH5","SCINH2"
"124","MEINH8","MEINH3",-0.351959468609449,0.724868659372108,0.977693456590577,"",NA,"SCINH6","SCINH2"
"125","MEINH9","MEINH3",1.30896575893532,0.190545949703759,0.87992861900656,"",NA,"SCINH7","SCINH2"
"126","MEINH10","MEINH3",-0.965917245131366,0.334085592321762,0.87992861900656,"",NA,"SCINH8","SCINH2"
"127","MEINH11","MEINH3",-1.36067797725735,0.173615477172154,0.87992861900656,"",NA,"SCINH9","SCINH2"
"128","MEINH12","MEINH3",-0.122005600948406,0.902894582496415,0.977693456590577,"",NA,"SCINH10","SCINH2"
"129","MEGLU1","MEINH5",-0.793387504155077,0.427552088840415,0.941576660253234,"",NA,"SCEXC1","SCINH3"
"130","MEGLU2","MEINH5",-1.19779450187688,0.230997028184734,0.87992861900656,"",NA,"SCEXC2","SCINH3"
"131","MEGLU3","MEINH5",-1.09927932542566,0.271646247409283,0.87992861900656,"",NA,"SCEXC3","SCINH3"
"132","MEGLU4","MEINH5",-0.381841100221126,0.70257923090423,0.977693456590577,"",NA,"SCEXC4","SCINH3"
"133","MEGLU5","MEINH5",0.531470691363821,0.595092646010234,0.977693456590577,"",NA,"SCEXC5","SCINH3"
"134","MEGLU6","MEINH5",-0.531264264014739,0.595235665580798,0.977693456590577,"",NA,"SCEXC6","SCINH3"
"135","MEINH2","MEINH5",0.127729178435531,0.89836329816644,0.977693456590577,"",NA,"SCINH1","SCINH3"
"136","MEINH3","MEINH5",0.511162564315657,0.609237229708385,0.977693456590577,"",NA,"SCINH2","SCINH3"
"137","MEINH5","MEINH5",-1.03766785441438,0.299424715587813,0.87992861900656,"",NA,"SCINH3","SCINH3"
