"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpkow.1",0.00864359040898397,0.661682402122011,0.647,0.314,1,"MEGLU4","Gpkow"
"Gm42970",0.00865747655639872,0.829159715554139,0.353,0.136,1,"MEGLU4","Gm42970"
"Gm9806",0.00868461985974628,1.17722048670867,0.294,0.097,1,"MEGLU4","Gm9806"
"Mapk8ip3",0.00869270104717135,0.26532927207984,1,0.924,1,"MEGLU4","Mapk8ip3"
"Gm44725",0.00870636319963914,0.647515002928158,0.118,0.017,1,"MEGLU4","Gm44725"
"Gm20615",0.00870636319963914,0.644380384753827,0.118,0.017,1,"MEGLU4","Gm20615"
"Gm43560",0.00870636319963914,0.625965286157938,0.118,0.017,1,"MEGLU4","Gm43560"
"4930461G14Rik",0.00870636319963914,0.622859336771237,0.118,0.017,1,"MEGLU4","4930461G14Rik"
"Mir684-2",0.00870636319963914,0.613781891760418,0.118,0.017,1,"MEGLU4","Mir684-2"
"Gm17705",0.00870636319963914,0.61333875935576,0.118,0.017,1,"MEGLU4","Gm17705"
"Gm48532",0.00870636319963914,0.59222236691264,0.118,0.017,1,"MEGLU4","Gm48532"
"1110002J07Rik",0.00870636319963914,0.559516410777031,0.118,0.017,1,"MEGLU4","1110002J07Rik"
"Gsto2",0.00870636319963914,0.55534575750689,0.118,0.017,1,"MEGLU4","Gsto2"
"Olfr441",0.00870636319963914,0.548875316006664,0.118,0.017,1,"MEGLU4","Olfr441"
"Gm12877.1",0.00870636319963914,0.525622310965759,0.118,0.017,1,"MEGLU4","Gm12877"
"Gm7043.1",0.00870636319963914,0.478499653280582,0.118,0.017,1,"MEGLU4","Gm7043"
"Gm12099",0.00870636319963914,0.444610793656117,0.118,0.017,1,"MEGLU4","Gm12099"
"Gm6743",0.00870636319963914,0.43632116867997,0.118,0.017,1,"MEGLU4","Gm6743"
"Dsg1a",0.00870636319963914,0.432528924014895,0.118,0.017,1,"MEGLU4","Dsg1a"
"Gm16553",0.00870636319963914,0.423175857921494,0.118,0.017,1,"MEGLU4","Gm16553"
"9330178D15Rik",0.00870636319963914,0.381620849304814,0.118,0.017,1,"MEGLU4","9330178D15Rik"
"Ccr2",0.00870636319963914,0.301549115200545,0.118,0.017,1,"MEGLU4","Ccr2"
"Gm47501",0.00870636319963914,0.285073099713274,0.118,0.017,1,"MEGLU4","Gm47501"
"Gm12704",0.00872194294118712,0.639504813418452,0.176,0.038,1,"MEGLU4","Gm12704"
"Rmdn2",0.00876906378912088,0.527735778956793,0.529,0.225,1,"MEGLU4","Rmdn2"
"Rims2",0.00878069054556699,0.373192087664309,1,0.924,1,"MEGLU4","Rims2"
"Lrp12",0.00880026798960918,0.749495646196121,0.588,0.318,1,"MEGLU4","Lrp12"
"Ethe1",0.00881480533217588,0.718381202533231,0.765,0.415,1,"MEGLU4","Ethe1"
"Mettl25",0.00883998860718495,0.831993563500664,0.529,0.263,1,"MEGLU4","Mettl25"
"Atp8a1",0.00885270932164688,0.421379201629394,1,0.898,1,"MEGLU4","Atp8a1"
"Brwd1",0.00886243018603551,0.434549814141454,0.941,0.775,1,"MEGLU4","Brwd1"
"Ppm1h.1",0.00888641076792884,0.490859158157613,1,0.788,1,"MEGLU4","Ppm1h"
"Pkig",0.00889039835645178,0.524658986872476,0.941,0.682,1,"MEGLU4","Pkig"
"Cd302",0.00891004627483294,0.831158036361349,0.647,0.381,1,"MEGLU4","Cd302"
"Vps13a.1",0.00894177910843863,0.509886034116623,0.941,0.699,1,"MEGLU4","Vps13a"
"Plcz1",0.00894560280977258,0.24996462223198,0.235,0.059,1,"MEGLU4","Plcz1"
"Gm38217",0.00896337703368323,0.656596102113171,0.176,0.038,1,"MEGLU4","Gm38217"
"Gm10619",0.00896337703368323,0.611913308565567,0.176,0.038,1,"MEGLU4","Gm10619"
"Gm50059",0.00896337703368323,0.564124165992099,0.176,0.038,1,"MEGLU4","Gm50059"
"Zfp871",0.00902205318266442,0.590797234213175,0.824,0.547,1,"MEGLU4","Zfp871"
"Gm42738",0.00904483565094728,0.532585367363294,0.118,0.017,1,"MEGLU4","Gm42738"
"Gm43672.1",0.00904483565094728,0.514424064032894,0.118,0.017,1,"MEGLU4","Gm43672"
"Mrgpra3",0.00904483565094728,0.410091455419332,0.118,0.017,1,"MEGLU4","Mrgpra3"
"Gm6606",0.00904483565094728,0.395580352119892,0.118,0.017,1,"MEGLU4","Gm6606"
"Gm36266",0.00904483565094728,0.367191652951048,0.118,0.017,1,"MEGLU4","Gm36266"
"Slc2a2",0.00904483565094728,0.328508789369803,0.118,0.017,1,"MEGLU4","Slc2a2"
"Gm10602",0.00904483565094728,0.250288997250952,0.118,0.017,1,"MEGLU4","Gm10602"
"Ccdc116",0.00904483565094728,0.239380745636594,0.118,0.017,1,"MEGLU4","Ccdc116"
"Gm21955",0.00904483565094728,0.226451081221594,0.118,0.017,1,"MEGLU4","Gm21955"
"Bbs2",0.00904793289538443,0.816409401335869,0.529,0.246,1,"MEGLU4","Bbs2"
"Nat14",0.00909946469726206,0.607743952050914,0.765,0.517,1,"MEGLU4","Nat14"
"Noxred1",0.00912336483095401,0.957599875921094,0.235,0.068,1,"MEGLU4","Noxred1"
"Gm43316",0.00913218776666373,0.799948144548746,0.353,0.123,1,"MEGLU4","Gm43316"
"Gm7890",0.00916378642280192,0.880191688498014,0.235,0.064,1,"MEGLU4","Gm7890"
"Gm34432",0.00921076210534773,0.520776034491076,0.176,0.038,1,"MEGLU4","Gm34432"
"Mllt3",0.00924401966394405,0.389282733577277,0.941,0.886,1,"MEGLU4","Mllt3"
"Mark1",0.00929591557121496,0.637397969326015,0.706,0.525,1,"MEGLU4","Mark1"
"Hlcs.1",0.00933939977805382,0.66747146584541,0.706,0.475,1,"MEGLU4","Hlcs"
"Gm18205",0.00939500854784154,0.737513689758332,0.118,0.017,1,"MEGLU4","Gm18205"
"Gm13421.1",0.00939500854784154,0.730620049604007,0.118,0.017,1,"MEGLU4","Gm13421"
"Mir453",0.00939500854784154,0.651802265105535,0.118,0.017,1,"MEGLU4","Mir453"
"E230025N22Rik",0.00939500854784154,0.611098690365462,0.118,0.017,1,"MEGLU4","E230025N22Rik"
"Gm20611",0.00939500854784154,0.514799755498942,0.118,0.017,1,"MEGLU4","Gm20611"
"Gm49156.2",0.00939500854784154,0.44556442189195,0.118,0.017,1,"MEGLU4","Gm49156"
"9530097N15Rik.1",0.00939500854784154,0.435414243473133,0.118,0.017,1,"MEGLU4","9530097N15Rik"
"Mif-ps8",0.00939500854784154,0.434229575502948,0.118,0.017,1,"MEGLU4","Mif-ps8"
"Bcl3",0.00939500854784154,0.380324015615289,0.118,0.017,1,"MEGLU4","Bcl3"
"Klra3",0.00939500854784154,0.366499264007805,0.118,0.017,1,"MEGLU4","Klra3"
"Cma2",0.00939500854784154,0.337380805267697,0.118,0.017,1,"MEGLU4","Cma2"
"Gm16103",0.00939500854784154,0.337212238715666,0.118,0.017,1,"MEGLU4","Gm16103"
"Arih1",0.009425400520325,0.477950165659448,0.941,0.758,1,"MEGLU4","Arih1"
"Mlf1",0.00943695268022363,0.906829047618554,0.412,0.174,1,"MEGLU4","Mlf1"
"Ccdc81",0.00943695268022363,0.871677973306159,0.412,0.174,1,"MEGLU4","Ccdc81"
"Gm4419",0.00945132783484734,0.501621203085657,0.471,0.203,1,"MEGLU4","Gm4419"
"Rims3",0.00945640045710306,0.440453295278829,0.882,0.729,1,"MEGLU4","Rims3"
"Gm45869",0.00946422283534173,0.757072618497471,0.176,0.038,1,"MEGLU4","Gm45869"
"Nthl1",0.00946422283534173,0.586376159657527,0.176,0.038,1,"MEGLU4","Nthl1"
"Haus5",0.00946422283534173,0.511897087541456,0.176,0.038,1,"MEGLU4","Haus5"
"Pfdn2",0.00946692948846141,-0.254748382202864,0.882,0.881,1,"MEGLU4","Pfdn2"
"Mllt6",0.00946789651641329,0.65073486920898,0.706,0.441,1,"MEGLU4","Mllt6"
"Ap5z1",0.0094733065128693,0.931995719128382,0.412,0.178,1,"MEGLU4","Ap5z1"
"Gm42480",0.0095219579916778,0.822755539286275,0.294,0.097,1,"MEGLU4","Gm42480"
"Lrrc7",0.00952662901387476,0.280208258914545,1,1,1,"MEGLU4","Lrrc7"
"4933432K03Rik",0.00954395934312799,0.586501697908674,0.588,0.28,1,"MEGLU4","4933432K03Rik"
"Rpl31-ps8",0.0095480984342665,0.487103235986039,0.824,0.597,1,"MEGLU4","Rpl31-ps8"
"Nif3l1",0.00956858940325292,0.717403418256944,0.706,0.415,1,"MEGLU4","Nif3l1"
"Ung",0.00957355655456442,0.644076165818599,0.235,0.064,1,"MEGLU4","Ung"
"C8g",0.00960042706967553,0.801721765695608,0.412,0.157,1,"MEGLU4","C8g"
"2310040G24Rik",0.00960042706967553,0.793504288709865,0.412,0.157,1,"MEGLU4","2310040G24Rik"
