"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Cox7c",2.162857456298e-19,0.319681479159806,0.958,0.956,3.26180532984302e-15,"Cox7c"
"Glud1",2.17199418902574e-19,0.225767223957553,0.479,0.331,3.27558443646973e-15,"Glud1"
"Tmem30a",2.24248690106131e-19,0.319017757918357,0.585,0.461,3.38189449549056e-15,"Tmem30a"
"Plcb1",2.50299213127928e-19,-0.234449866290781,0.196,0.333,3.77476243318228e-15,"Plcb1"
"Elmo1",2.53982465924434e-19,-0.40044722029763,0.6,0.689,3.83030956860639e-15,"Elmo1"
"Cspg5",2.59136579981348e-19,0.25346283711002,0.575,0.437,3.9080387626987e-15,"Cspg5"
"Uqcc2",2.6398638197414e-19,0.280768058193003,0.794,0.735,3.981178626552e-15,"Uqcc2"
"Rpl34",3.39386320037032e-19,0.306331558253342,0.796,0.72,5.11828509247848e-15,"Rpl34"
"Xbp1",4.39006772376535e-19,0.235673471032402,0.479,0.343,6.62066113421052e-15,"Xbp1"
"Gabrg2",4.61952996186654e-19,0.229804883229496,0.444,0.304,6.96671313549092e-15,"Gabrg2"
"Cacna2d2",5.10943036426835e-19,-0.276887846793569,0.4,0.533,7.70553193235311e-15,"Cacna2d2"
"Adcyap1r1",5.29446773473974e-19,0.203000008714279,0.341,0.207,7.98458679076101e-15,"Adcyap1r1"
"Epha4",5.37531151600782e-19,0.352205632761658,0.461,0.333,8.10650729729139e-15,"Epha4"
"Fyttd1",5.40849327620734e-19,0.201066659093796,0.371,0.238,8.15654870984829e-15,"Fyttd1"
"Nefm",6.94552567712892e-19,0.319296436649327,0.433,0.295,1.04745472736781e-14,"Nefm"
"Hsp90ab1",8.18791332341657e-19,0.302361652864625,0.894,0.856,1.23481920830445e-14,"Hsp90ab1"
"Fam163b",8.81004893431552e-19,-0.25342746048863,0.162,0.287,1.32864347978412e-14,"Fam163b"
"Fam168b",1.07003672307131e-18,0.285590187470693,0.642,0.52,1.61372238206384e-14,"Fam168b"
"Srgap2",1.12072521559937e-18,-0.260868184897833,0.253,0.386,1.69016569764541e-14,"Srgap2"
"Tspyl1",1.25314258770424e-18,0.246251966980953,0.564,0.43,1.88986433651676e-14,"Tspyl1"
"B4galt6",1.29091301165368e-18,0.246029449367854,0.59,0.452,1.94682591287491e-14,"B4galt6"
"Rpl35",1.34099452532532e-18,0.307011986356873,0.726,0.649,2.02235384364312e-14,"Rpl35"
"Smarca2",1.36249571018101e-18,0.261891655807462,0.573,0.447,2.05477978052397e-14,"Smarca2"
"Sphkap",1.49544379105853e-18,-0.361941576052616,0.119,0.232,2.25527878129536e-14,"Sphkap"
"Ctnnd2",1.5379112107733e-18,0.272949507808612,0.478,0.345,2.31932389696722e-14,"Ctnnd2"
"Chchd2",1.58754542516401e-18,0.251542487191477,0.972,0.988,2.39417725568985e-14,"Chchd2"
"Gde1",1.60735207884513e-18,0.284727202539874,0.669,0.558,2.42404767010635e-14,"Gde1"
"Nbea",1.65588720098857e-18,0.258922335554576,0.538,0.409,2.49724348781087e-14,"Nbea"
"Btbd3",1.71558431527572e-18,0.275190578761107,0.428,0.3,2.58727270586731e-14,"Btbd3"
"Pnck",1.7287931882304e-18,0.256945723811843,0.471,0.336,2.60719300717027e-14,"Pnck"
