"","PatchSeq.p_val","PatchSeq.avg_log2FC","PatchSeq.pct.1","PatchSeq.pct.2","PatchSeq.p_val_adj","gene"
"Fasn",0.0194510923751819,0.319952802175154,0.564,0.412,1,"Fasn"
"Ift57",0.0194815206006164,0.358341799585827,0.59,0.463,1,"Ift57"
"Fkbp14",0.0195423477524224,0.360652847319759,0.214,0.103,1,"Fkbp14"
"Mtus1",0.0195633629876352,0.341835621718945,0.547,0.419,1,"Mtus1"
"Tubgcp3",0.0195899185029945,0.365301918191846,0.427,0.279,1,"Tubgcp3"
"Dact3",0.0196583310003738,0.318951751694204,0.53,0.382,1,"Dact3"
"Nipal2",0.0197230179773806,0.317512039045715,0.564,0.419,1,"Nipal2"
"Tafa5",0.0197594590097141,0.292749312500881,0.744,0.618,1,"Tafa5"
"Topors",0.0197830583138354,0.373506426984216,0.538,0.404,1,"Topors"
"Gm10629",0.0198148857295119,0.357432212512155,0.325,0.191,1,"Gm10629"
"Commd1b",0.0198343744338439,0.292722510506058,0.675,0.544,1,"Commd1b"
"Epb41l2",0.0198596641615936,0.285319911025402,0.641,0.522,1,"Epb41l2"
"Gm3200",0.0198618474735135,0.325668231256069,0.453,0.287,1,"Gm3200"
"Akap9",0.019862472565734,0.207439197856942,0.863,0.809,1,"Akap9"
"Mad1l1",0.0199510877700606,0.421094148781255,0.607,0.537,1,"Mad1l1"
"Fam161a",0.0199744862626387,0.409276155634558,0.188,0.088,1,"Fam161a"
"Rsrc1",0.0199957496179939,0.209674841810201,0.88,0.853,1,"Rsrc1"
"Ccdc181",0.0201463690148355,0.359364064380943,0.521,0.368,1,"Ccdc181"
"Nfxl1",0.0202111571392481,0.394331378837789,0.325,0.199,1,"Nfxl1"
"Ogg1",0.0202343548458867,0.308060905446429,0.658,0.522,1,"Ogg1"
"Wdsub1",0.020246029066648,0.439130945938085,0.299,0.176,1,"Wdsub1"
"Dennd6b",0.0202616827056393,0.382406694910447,0.479,0.338,1,"Dennd6b"
"Apmap",0.020267966731263,0.365034719784107,0.53,0.426,1,"Apmap"
"Abcf3",0.0203601919487694,0.342224906891496,0.59,0.449,1,"Abcf3"
"Fam234b",0.0204365317087252,0.290966748669754,0.667,0.5,1,"Fam234b"
"Eef2k",0.0205625692875341,0.435574916548734,0.376,0.257,1,"Eef2k"
"D630045J12Rik",0.0205710239432771,0.256505278388737,0.684,0.529,1,"D630045J12Rik"
"Ncor2",0.0206068154661568,0.253050955624673,0.786,0.654,1,"Ncor2"
"Rab33a",0.0206492278262492,0.39242270438051,0.479,0.346,1,"Rab33a"
"Fyttd1",0.0207233226128437,0.222286744529793,0.863,0.735,1,"Fyttd1"
"Arl5c",0.0207733186336046,0.488621919489981,0.282,0.176,1,"Arl5c"
"Rpsa-ps9",0.0208324770166291,0.346387104140619,0.239,0.125,1,"Rpsa-ps9"
"Daam1",0.020858453587039,0.234914152797562,0.786,0.706,1,"Daam1"
"Gm45828",0.0208790997756922,0.445382878721592,0.111,0.037,1,"Gm45828"
"Bhlhe41",0.0209384848123291,0.290426789607127,0.692,0.632,1,"Bhlhe41"
"Galnt14",0.0209480663970537,0.371713757511181,0.547,0.426,1,"Galnt14"
"Usp29",0.0209501943967905,0.227058496334713,0.88,0.816,1,"Usp29"
"Sap30bp",0.0210006713623574,0.340523664985519,0.53,0.397,1,"Sap30bp"
"Gm12873",0.0210374233901205,0.304234882571952,0.581,0.426,1,"Gm12873"
"Itga9",0.0210629385798864,0.375684676040834,0.453,0.346,1,"Itga9"
"Gramd1c",0.021083839430885,0.317512459867926,0.188,0.088,1,"Gramd1c"
"Gm42683",0.0210940318828579,0.3366535606795,0.111,0.037,1,"Gm42683"
"Prkx",0.0210943005386788,0.436986263998094,0.291,0.176,1,"Prkx"
"D430041D05Rik",0.0211038423038386,0.237303752898902,0.889,0.86,1,"D430041D05Rik"
"8430429K09Rik",0.0211053965096413,0.319762818686283,0.538,0.39,1,"8430429K09Rik"
"Ncf2",0.0211113376306448,0.340570204615011,0.368,0.228,1,"Ncf2"
"Rbm28",0.0211240979281568,0.285258487347219,0.65,0.522,1,"Rbm28"
"Btbd1",0.0211380647446111,0.254726594068168,0.701,0.588,1,"Btbd1"
"Pcbp3",0.0211397891116913,-0.26229166319145,0.692,0.772,1,"Pcbp3"
"Nr1h2",0.0212090656036884,0.36159377164047,0.547,0.397,1,"Nr1h2"
"Gm11739",0.0212283904373559,0.328720265029197,0.658,0.507,1,"Gm11739"
"Gpt",0.0212731950482979,0.340978038107043,0.128,0.044,1,"Gpt"
"Mtmr6",0.0212822776145836,0.255527895533219,0.718,0.61,1,"Mtmr6"
"Obsl1",0.0212950519157677,0.353171807316576,0.564,0.397,1,"Obsl1"
"Mbnl3",0.0213308980795066,-0.322542215445077,0.282,0.419,1,"Mbnl3"
"Cfap69",0.0213530340771528,0.401237549187371,0.487,0.375,1,"Cfap69"
"Ift22",0.0213541749159722,0.309223246279995,0.615,0.485,1,"Ift22"
"Gm30652",0.0213555221696282,0.342222272570624,0.162,0.066,1,"Gm30652"
"Arhgap17",0.0213621851190834,0.500110124040709,0.376,0.279,1,"Arhgap17"
"Ndfip2",0.0213822880822296,0.256046556538708,0.752,0.684,1,"Ndfip2"
"Trpm8",0.0214994030026201,0.290457525235593,0.393,0.25,1,"Trpm8"
"Wdr83",0.021526843259335,0.415672877544125,0.427,0.272,1,"Wdr83"
"Cacnb3",0.0215288601251583,0.373033603801635,0.547,0.382,1,"Cacnb3"
"Pofut1",0.0215973158955584,0.398796242061395,0.393,0.265,1,"Pofut1"
"Sec23a",0.0216008396177835,0.269697118751478,0.752,0.625,1,"Sec23a"
"Rnmt",0.0217214330156893,0.257085031409576,0.675,0.551,1,"Rnmt"
"Ablim2",0.0217594090875594,0.226744321189658,0.821,0.765,1,"Ablim2"
"Pfkl",0.0218029922947523,0.322365945306444,0.65,0.544,1,"Pfkl"
"Nr4a2",0.0218834566042892,-0.455566165632757,0.128,0.235,1,"Nr4a2"
"Ccdc138",0.0219087756015429,0.375452056371432,0.359,0.228,1,"Ccdc138"
"B230323A14Rik",0.0219160403593434,0.444552774889036,0.239,0.132,1,"B230323A14Rik"
"D2hgdh",0.0219373500909813,0.4112412520699,0.214,0.11,1,"D2hgdh"
"Cdk6",0.0219710520526015,0.278584827377859,0.504,0.375,1,"Cdk6"
"Gm11483",0.0220023857007019,0.449730664063789,0.239,0.125,1,"Gm11483"
"Gm37885",0.0220179627830016,0.409235407800548,0.291,0.154,1,"Gm37885"
"Gm17359",0.0220215083437919,0.267657895893721,0.427,0.294,1,"Gm17359"
